ntacode,medianinco,poororstru,poptot,popover18,male,highschool,comm_less30,comm_plus30
QN60,60095.76199842644,6338,22878,19191,11240,3276,2999,8511
QN61,40179.92356938062,24794,50922,38784,25103,9469,4719,17125
QN62,53004.158368669305,8892,20989,16420,10284,3869,2982,6113
QN63,54859.569720939486,15879,45259,36831,22708,7407,5543,16639
QN66,78173.10671810986,4155,25141,19594,10978,4511,3142,8056
QN68,32028.11510868979,10594,18539,14066,8552,3176,2376,4712
QN70,53812.134838786944,26253,75149,65043,37003,12579,10931,29579
QN71,46139.15005666792,11107,26470,22086,13485,4091,3582,9665
QN72,60382.97802085673,14374,49001,41683,24114,8585,7173,17667
QN76,61339.77079870527,11445,34293,25563,16029,7582,3830,10762
QN99,,64,438,368,196,46,19,141
SI01,88415.23020155256,4052,28727,22490,14589,6702,4937,7984
SI05,77248.1078017056,8461,39517,30938,18784,9441,6959,9895
SI07,84097.43463350138,4313,24202,19023,11971,5685,5040,5729
SI08,50153.92874507503,8414,23858,17789,10469,3667,3989,6034
SI11,85699.24199642902,4148,24083,17857,12491,4867,3316,6828
SI12,56111.35313228104,11281,30473,21987,14153,6685,4530,7492
SI14,69402.03289340103,3458,14775,11567,6848,2569,2161,4046
SI22,46720.570417120514,13664,31214,22717,15078,5708,4375,7579
SI24,87638.85315210924,5615,31931,25480,15087,7115,5925,8257
SI25,76482.47644976857,3915,22038,17461,10428,5107,3870,5738
SI28,60978.014864864876,6997,19240,13981,9374,4379,3798,3887
SI32,86924.58100110343,2939,19938,15257,9766,4651,2951,6009
SI35,72719.31021299836,5132,18310,13792,9334,3493,2969,4602
SI36,64106.216368654736,5877,24999,20140,12235,6042,4079,6459
SI37,51148.66892919837,9729,25635,19948,12697,5397,3738,6570
SI45,74313.55073557148,4780,21208,16356,10290,5099,3492,5818
SI48,88685.4153393282,2949,24799,19385,12124,5682,4241,7298
SI54,90035.63373016787,5635,43427,33761,21259,10966,6831,11960
